Latitude,Longitude,Month,Day,Year,Total pieces/km^2,Micro,Macro,Total Weight,micro,macro,Source,Info,Mesh Size,Count/km^2 .335-.999 mm,Count/km^2 1.00-4.75 mm,Count/km^2 4.75-200 mm,Count/km^2 >200 mm,total/km^2,g/km^2 .335-.999 mm,g/km^2 1.00-4.75 mm,g/km^2 4.75-200 mm,g/km^2 >200 mm,Sea State (Beaufort Scale),INFO
-17.0659,140.7736,7,30,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Enterprise/Austral Fisheries Transit
-17.0782,140.7713,7,30,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Enterprise/Austral Fisheries Transit
-18.6598,119.4604,8,17,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5597
-18.8643,118.6698,8,17,2012,2488.26,0.00,2488.26,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,"2,488.26",0,"2,488.26",,,,,4,Solander/Trip 5597
-18.8747,118.6334,8,17,2012,534.66,0.00,534.66,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,534.66,0,534.66,,,,,4,Solander/Trip 5597
-18.99,118.1841,8,17,2012,1704.04,568.01,1136.03,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,568.01,0,"1,136.03",0,"1,704.04",,,,,3,Solander/Trip 5597
-19.1099,117.718,8,17,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,2,Solander/Trip 5597
-20.3236,115.6446,8,19,2012,1244.97,0.00,1244.97,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,"1,244.97",0,"1,244.97",,,,,3,Solander/Trip 5597
-20.3294,115.6287,8,19,2012,654.31,0.00,654.31,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,654.31,0,654.31,,,,,3,Solander/Trip 5597
-19.7933,115.982,8,22,2012,1241.92,0.00,1241.92,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,"1,241.92",0,"1,241.92",,,,,4,Solander/Trip 5597
