Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
22.93,-69.77,4,16,1990,8998,,,,,,SEA Education,Not adjusted,333um,22.93-69.7741619908998SEA EducationNot adjusted333um
22.93,-69.77,4,16,1990,8998,,,,,,SEA Education,Not adjusted,333um,22.93-69.7741619908998SEA EducationNot adjusted333um
21.75,-69.57,4,17,1990,0,,,,,,SEA Education,Not adjusted,333um,21.75-69.5741719900SEA EducationNot adjusted333um
21.75,-69.57,4,17,1990,0,,,,,,SEA Education,Not adjusted,333um,21.75-69.5741719900SEA EducationNot adjusted333um
22.2,-70.72,4,27,1990,0,,,,,,SEA Education,Not adjusted,333um,22.2-70.7242719900SEA EducationNot adjusted333um
22.2,-70.72,4,27,1990,0,,,,,,SEA Education,Not adjusted,333um,22.2-70.7242719900SEA EducationNot adjusted333um
29.14,-71.19,4,29,1990,0,,,,,,SEA Education,Not adjusted,333um,29.14-71.1942919900SEA EducationNot adjusted333um
29.14,-71.19,4,29,1990,0,,,,,,SEA Education,Not adjusted,333um,29.14-71.1942919900SEA EducationNot adjusted333um
44.55,-62.69,8,16,1990,0,,,,,,SEA Education,Not adjusted,333um,44.55-62.6981619900SEA EducationNot adjusted333um
44.55,-62.69,8,16,1990,0,,,,,,SEA Education,Not adjusted,333um,44.55-62.6981619900SEA EducationNot adjusted333um
42.71,-65.39,8,17,1990,0,,,,,,SEA Education,Not adjusted,333um,42.71-65.3981719900SEA EducationNot adjusted333um
42.71,-65.39,8,17,1990,0,,,,,,SEA Education,Not adjusted,333um,42.71-65.3981719900SEA EducationNot adjusted333um
42.74,-70.31,8,22,1990,0,,,,,,SEA Education,Not adjusted,333um,42.74-70.3182219900SEA EducationNot adjusted333um
42.74,-70.31,8,22,1990,0,,,,,,SEA Education,Not adjusted,333um,42.74-70.3182219900SEA EducationNot adjusted333um
16.63,-63.63,2,17,1991,540,,,,,,SEA Education,Not adjusted,333um,16.63-63.632171991540SEA EducationNot adjusted333um
16.63,-63.63,2,17,1991,540,,,,,,SEA Education,Not adjusted,333um,16.63-63.632171991540SEA EducationNot adjusted333um
15.68,-62.83,2,18,1991,540,,,,,,SEA Education,Not adjusted,333um,15.68-62.832181991540SEA EducationNot adjusted333um
15.68,-62.83,2,18,1991,540,,,,,,SEA Education,Not adjusted,333um,15.68-62.832181991540SEA EducationNot adjusted333um
17.35,-77.3,3,13,1991,1080,,,,,,SEA Education,Not adjusted,333um,17.35-77.331319911080SEA EducationNot adjusted333um
17.35,-77.3,3,13,1991,1080,,,,,,SEA Education,Not adjusted,333um,17.35-77.331319911080SEA EducationNot adjusted333um
19.03,-79.65,3,15,1991,0,,,,,,SEA Education,Not adjusted,333um,19.03-79.6531519910SEA EducationNot adjusted333um
19.03,-79.65,3,15,1991,0,,,,,,SEA Education,Not adjusted,333um,19.03-79.6531519910SEA EducationNot adjusted333um
23.47,-83.2,3,23,1991,0,,,,,,SEA Education,Not adjusted,333um,23.47-83.232319910SEA EducationNot adjusted333um
23.47,-83.2,3,23,1991,0,,,,,,SEA Education,Not adjusted,333um,23.47-83.232319910SEA EducationNot adjusted333um
25.87,-79.97,4,20,1991,0,,,,,,SEA Education,Not adjusted,333um,25.87-79.9742019910SEA EducationNot adjusted333um
25.87,-79.97,4,20,1991,0,,,,,,SEA Education,Not adjusted,333um,25.87-79.9742019910SEA EducationNot adjusted333um
25.65,-76.72,4,20,1991,0,,,,,,SEA Education,Not adjusted,333um,25.65-76.7242019910SEA EducationNot adjusted333um
25.65,-76.72,4,20,1991,0,,,,,,SEA Education,Not adjusted,333um,25.65-76.7242019910SEA EducationNot adjusted333um
41.91,-69.5,7,2,1991,540,,,,,,SEA Education,Not adjusted,333um,41.91-69.5721991540SEA EducationNot adjusted333um
41.91,-69.5,7,2,1991,540,,,,,,SEA Education,Not adjusted,333um,41.91-69.5721991540SEA EducationNot adjusted333um
41.03,-70.81,7,4,1991,0,,,,,,SEA Education,Not adjusted,333um,41.03-70.817419910SEA EducationNot adjusted333um
41.03,-70.81,7,4,1991,0,,,,,,SEA Education,Not adjusted,333um,41.03-70.817419910SEA EducationNot adjusted333um
40.98,-70.62,10,11,1991,0,,,,,,SEA Education,Not adjusted,333um,40.98-70.62101119910SEA EducationNot adjusted333um
40.98,-70.62,10,11,1991,0,,,,,,SEA Education,Not adjusted,333um,40.98-70.62101119910SEA EducationNot adjusted333um
