DD,DD,Month,Day,Year,Particles/km^2,Particles/m^2 <700um,Particles/m^2 >700um,weight,micro,macro,Source,Note,,,,Particles,Characterized Particles,Particles/m^2 >700um,Particles/m^2 <700um,Particles/m^2 Total,Particles/km^2,g/km^2 <700um,mg/m^2 <700um
38.155,7.263,6,12,2013,550000,440000,110000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,51,6,0.11,0.44,0.55,550000,32.47,0.081
38.116,6.637,6,12,2013,370000,300000,60000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,34,22,0.06,0.3,0.37,370000,32.47,0.081
38.069,5.969,6,12,2013,2180000,1460000,720000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,142,25,0.72,1.46,2.18,2180000,1950.84,"4,877"
38.031,5.324,6,12,2013,400000,280000,120000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,24,12,0.12,0.28,0.4,400000,49.75,0.124
37.978,4.647,6,13,13,2400000,2250000,150000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,64,9,0.15,2.25,2.4,2400000,0,0
39.80334,4.4396,6,13,13,1050000,660000,390000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,160,13,0.39,0.66,1.05,1050000,360.89,0.902
39.80334,4.6778,6,13,13,6900000,4260000,2650000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,524,29,2.65,4.26,6.9,6900000,2279.31,"5,698"
39.77417,11.88833,6,15,13,1200000,750000,450000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,229,42,0.45,0.75,1.2,1200000,407.52,"1,019"
43.025,9.7,6,16,13,640000,420000,210000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,74,34,0.21,0.42,0.64,640000,463.92,"1,160"
43.02517,9.64167,6,16,13,340000,250000,90000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,53,7,0.09,0.25,0.34,340000,304.76,0.762
43.026,9.59967,6,17,13,3840000,2220000,1620000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,850,15,1.62,2.22,3.84,3840000,1531.17,"3,828"
43.02617,9.52533,6,17,13,9230000,4710000,4520000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,1324,7,4.52,4.71,9.23,9230000,10432.36,"26,081"
43.03002,9.76987,6,17,13,1600000,1210000,390000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,281,16,0.39,1.21,1.6,1600000,335.61,0.839
39.80334,7.99863,6,19,13,5500000,3540000,1960000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,371,6,1.96,3.54,5.5,5500000,2957.04,"7,393"
39.80067,7.81933,6,19,13,2480000,2070000,420000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,196,74,0.42,2.07,2.48,2480000,139.42,0.349
39.80017,7.3995,6,20,13,1120000,800000,320000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,112,30,0.32,0.8,1.12,1120000,538.92,"1,347"
39.80067,6.99983,6,20,13,5040000,2490000,2550000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,944,8,2.55,2.49,5.04,5040000,3039.53,"7,599"
39.79933,6.61,6,20,13,870000,690000,180000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,34,14,0.18,0.69,0.87,870000,128.21,0.321
39.80334,5.98607,6,20,13,2270000,1800000,470000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,230,7,0.47,1.8,2.27,2270000,276.95,0.692
39.8005,5.495,6,20,13,770000,660000,120000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,53,10,0.12,0.66,0.77,770000,291.12,0.728
39.80334,4.81302,6,21,13,710000,330000,380000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,111,28,0.38,0.33,0.71,710000,376.76,0.942
38.324,9.33,6,22,13,1020000,870000,150000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,240,99,0.15,0.87,1.02,1020000,38.12,0.095
38.3797,9.52133,6,22,13,700000,460000,240000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,118,7,0.24,0.46,0.7,700000,130.25,0.326
38.5445,9.82533,6,22,13,890000,680000,210000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,122,22,0.21,0.68,0.89,890000,175.82,0.44
38.9165,13.29933,6,24,13,930000,750000,180000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,217,7,0.18,0.75,0.93,930000,334.62,0.837
