"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"35",15,10,1972,35,142.198,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",15,10,1972,35,144.176,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",15,10,1972,35,145.604,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",15,10,1972,35,150.989,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",15,10,1972,35,155.165,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",15,10,1972,35,160.219,22647.0588235294,308,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",15,10,1972,35,165.714,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",15,10,1972,35,169.999,25955.8823529412,353,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",15,10,1972,35,175.055,24264.7058823529,330,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",15,10,1972,35,-180,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",15,10,1972,35,-177.582,45294.1176470588,616,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",15,10,1972,35,-174.945,11470.5882352941,156,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",15,10,1972,35,-172.637,24264.7058823529,330,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",15,10,1972,35,-170.109,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
