"","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size == as.numeric(Mesh.Size)","Corrected","wind","CorrectedConcentration"
"3732",4666,6,12,1998,13.59,-62.41,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.53552800416946,0
"3733",4667,5,11,1994,13.6,-60.73,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.29258769750595,0
"3734",4668,5,11,1994,13.6,-60.73,900,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,1.23444444444444e-06,NA,NA,NA,NA,TRUE,"No",6.29258769750595,1768.84940006426
"3735",4669,6,11,2011,13.61,-59.6,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.12613934278488,0
"3736",4670,5,12,1998,13.62,-62.89,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.53381901979446,0
"3737",4671,10,12,1995,13.62,-61.33,1620,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",6.66532266139984,3313.66739017649
"3738",4672,14,12,1991,13.63,-70.97,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.99009138345718,0
"3739",4673,14,12,1991,13.63,-70.97,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.99009138345718,0
"3740",4674,1,12,1991,13.63,-62.7,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",7.79355818033218,1236.45765325935
"3741",4675,1,12,1991,13.63,-62.7,1080,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.79355818033218,2472.9153065187
"3742",4676,4,11,1991,13.63,-59.38,1270,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574,NA,NA,1.23937007874016e-06,NA,NA,NA,NA,TRUE,"No",6.75011169910431,2620.95000328185
"3743",4677,4,11,1991,13.63,-59.38,23758,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,3.89763448101692e-08,NA,NA,NA,NA,TRUE,"No",6.75011169910431,49030.3387228112
"3744",4678,2,4,2012,13.65,-159.18,1320,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1515,NA,NA,1.14772727272727e-06,NA,NA,NA,NA,TRUE,"No",9.13377869129181,5541.10429889453
"3745",4679,7,6,2008,13.65,-150.35,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.02987086772919,0
"3746",4680,5,12,1992,13.65,-62.47,2160,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,8.57407407407407e-07,NA,NA,NA,NA,TRUE,"No",6.65609496831894,4413.93142207715
"3747",4681,5,11,1996,13.65,-59.3,59935,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.09001418203053e-08,NA,NA,NA,NA,TRUE,"No",6.74704623222351,123650.66738369
"3748",4682,5,12,2005,13.66,-116.28,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.05637449026108,0
"3749",4683,30,10,2009,13.67,-131.27,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.24814140796661,0
"3750",4684,17,12,1998,13.67,-70.82,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.90002995729446,0
"3751",4685,9,12,2003,13.69,-112.61,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",6.21117746829987,1051.89131609295
"3752",4686,30,11,1991,13.7,-63.73,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.12584412097931,0
"3753",4687,30,11,1991,13.7,-63.73,675,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,2.19555555555556e-06,NA,NA,NA,NA,TRUE,"No",7.12584412097931,1447.79305532097
"3754",4688,1,11,1991,13.7,-61.2,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.84801208972931,0
"3755",4689,1,11,1991,13.7,-61.2,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",6.84801208972931,1125.8200649857
"3756",4690,7,11,1992,13.72,-60.68,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.57130813598633,0
"3757",4691,7,11,1992,13.72,-60.68,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.57130813598633,0
"3758",4692,10,11,1998,13.73,-59.93,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.80320131778717,0
"3759",4693,14,11,2002,13.74,-61.21,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",6.82911777496338,1123.61893367949
"3760",4694,11,11,2000,13.74,-61.16,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.33232516050339,0
"3761",4695,21,12,1995,13.75,-69.77,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.56400430202484,0
"3762",4696,3,12,2001,13.75,-61.48,1620,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",7.34989750385284,3553.30557618773
"3763",4697,8,11,2006,13.75,-59.89,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.53955900669098,0
"3764",4698,6,11,2009,13.75,-59.85,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1681,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.80893188714981,0
"3765",4699,3,11,2011,13.75,-57.47,340,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2941,NA,NA,8.65e-06,NA,NA,NA,NA,TRUE,"No",6.78776043653488,704.431166630786
"3766",4700,8,12,2004,13.76,-116.14,864,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2315,NA,NA,2.67939814814815e-06,NA,NA,NA,NA,TRUE,"No",7.43292033672333,1910.65049764525
"3767",4701,22,12,1995,13.77,-69.78,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.56400430202484,0
"3768",4702,10,11,2000,13.77,-60.57,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.32670992612839,0
"3769",4703,6,12,2002,13.78,-62.95,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.56027752161026,0
"3770",4704,3,11,2005,13.79,-59.82,1075,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861,NA,NA,1.73116279069767e-06,NA,NA,NA,NA,TRUE,"No",5.64679127931595,1964.68675683709
"3771",4705,12,3,2009,13.8,-149.29,2541,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574,NA,NA,6.1944116489571e-07,NA,NA,NA,NA,TRUE,"No",8.895851790905,10424.8991371651
"3772",4706,17,10,2010,13.8,-133.13,466,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2147,NA,NA,4.60729613733906e-06,NA,NA,NA,NA,TRUE,"No",8.25084733963013,1113.43619011779
"3773",4707,4,11,2001,13.8,-96.14,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.84717559814453,0
"3774",4708,19,12,1987,13.8,-72.48,2400,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,6.94583333333333e-07,NA,NA,NA,NA,TRUE,"No",8.71541714668274,9673.33041844854
"3775",4709,19,12,1987,13.8,-72.48,3600,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,6.94444444444444e-07,NA,NA,NA,NA,TRUE,"No",8.71541714668274,14509.9956276728
"3776",4710,8,3,1992,13.82,-81.58,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.18601268529892,0
"3777",4711,8,3,1992,13.82,-81.58,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",7.18601268529892,1165.26546516498
"3778",4712,19,12,1994,13.82,-69.73,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.3592923283577,0
"3779",4713,19,12,1994,13.82,-69.73,1080,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.3592923283577,2371.06984735789
"3780",4714,15,3,2008,13.83,-152.16,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1887,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",9.29828011989594,0
"3781",4715,18,10,2011,13.83,-129.94,868,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152,NA,NA,1.32718894009217e-06,NA,NA,NA,NA,TRUE,"No",6.73439490795135,1788.38635804116
"3782",4716,5,12,2000,13.84,-64.9,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.32438445091248,0
"3783",4717,5,12,2000,13.84,-64.9,514,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1945,NA,NA,3.784046692607e-06,NA,NA,NA,NA,TRUE,"No",8.32438445091248,1236.37203678413
"3784",4718,6,11,2010,13.84,-59.68,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2395,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.07430619001389,0
"3785",4719,6,11,2010,13.84,-59.67,449,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2227,NA,NA,4.95991091314031e-06,NA,NA,NA,NA,TRUE,"No",6.07430619001389,861.481974716051
"3786",4720,6,12,1999,13.85,-61.32,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.27755975723267,0
"3787",4721,9,11,1993,13.85,-61.07,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.04183542728424,0
"3788",4722,9,11,1993,13.85,-61.07,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.04183542728424,0
"3789",4723,9,11,1993,13.85,-61.07,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.04183542728424,0
"3790",4724,9,11,1993,13.85,-61.07,7019,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,2.63855250035618e-07,NA,NA,NA,NA,TRUE,"No",7.04183542728424,14927.3862864362
"3791",4725,6,12,1999,13.87,-61.59,540,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",7.27755975723267,1175.97045313971
"3792",4726,31,3,2009,13.88,-157.45,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.17099827528,0
"3793",4727,17,2,2003,13.88,-151.63,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.12009531259537,0
"3794",4728,5,12,1994,13.88,-62.63,11583,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,2.2360355693689e-08,NA,NA,NA,NA,TRUE,"No",6.7958157658577,24018.431662905
"3795",4729,9,11,2004,13.88,-61.71,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95216357707977,0
"3796",4730,9,11,2004,13.88,-61.71,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95216357707977,0
"3797",4731,9,11,2004,13.88,-61.71,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95216357707977,0
"3798",4732,9,11,2004,13.88,-61.71,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95216357707977,0
"3799",4733,9,11,2004,13.88,-61.71,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95216357707977,0
"3800",4734,16,11,2010,13.89,-62.48,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1647,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.33211869001389,0
"3801",4735,18,12,1994,13.9,-65.93,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.0487454533577,0
"3802",4736,18,12,1994,13.9,-65.93,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.0487454533577,0
"3803",4737,12,11,1996,13.9,-60.15,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.61472201347351,0
"3804",4738,12,11,1996,13.9,-60.15,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.61472201347351,0
"3805",4739,18,11,2013,13.90833333,-129.7433333,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.55327743291855,0
"3806",4740,3,3,1993,13.92,-78.9,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.04291665554047,0
"3807",4741,3,3,1993,13.92,-78.9,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.04291665554047,0
"3808",4742,24,12,1995,13.92,-70.35,697,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2871,NA,NA,4.11908177905308e-06,NA,NA,NA,NA,TRUE,"No",7.66800820827484,1576.92160596487
"3809",4743,11,11,2005,13.92,-61.39,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1833,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.00885182619095,0
"3810",4744,6,11,1997,13.93,-59.13,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.07431042194366,0
"3811",4745,17,5,2012,13.94,-158.85,541,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1848,NA,NA,3.41589648798521e-06,NA,NA,NA,NA,TRUE,"No",8.80772334337234,2200.48912557087
"3812",4746,31,3,2005,13.95,-156.25,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.25437033176422,0
"3813",4747,7,12,1987,13.95,-61.88,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.69832730293274,0
"3814",4748,7,12,1987,13.95,-61.88,1080,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.69832730293274,2450.55300310826
"3815",4749,22,12,1996,13.97,-69.55,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.61009454727173,0
"3816",4750,9,12,2003,13.97,-62.58,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.92724192142487,0
"3817",4751,31,10,1991,13.97,-61.22,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.20159918069839,0
"3818",4752,5,4,2002,13.98,-158.97,4860,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.81069958847737e-07,NA,NA,NA,NA,TRUE,"No",7.63747841119766,10963.225867077
"3819",4753,13,12,1991,13.98,-68.7,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.31040388345718,0
"3820",4754,13,12,1991,13.98,-68.7,1800,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,9.26111111111111e-07,NA,NA,NA,NA,TRUE,"No",8.31040388345718,4324.21582932085
"3821",4755,6,12,1989,13.98,-61.7,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.63851195573807,0
"3822",4756,6,12,1989,13.98,-61.7,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.63851195573807,0
"3823",4757,13,11,1997,13.98,-61.12,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1759,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.05624401569366,0
"3824",4758,8,12,1997,13.98,-61.03,1620,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",7.31894600391388,3542.43812659942
"3825",4759,1,11,2010,13.99,-146.75,3988,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2508,NA,NA,6.2888665997994e-07,NA,NA,NA,NA,TRUE,"No",8.51327103376389,15751.7174578317
"3826",4760,9,11,2000,13.99,-60.74,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.32670992612839,0
"3827",4761,10,11,1998,14.01,-59.97,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.80320131778717,0
