"","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size == as.numeric(Mesh.Size)","Corrected","wind","CorrectedConcentration"
"11315",12249,29,7,2002,41.61,-69,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.87026834487915,0
"11316",12250,7,8,2002,41.62,-69.26,831,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2408,NA,NA,2.89771359807461e-06,NA,NA,NA,NA,TRUE,"No",5.48565751314163,1490.37691490224
"11317",12251,27,5,1994,41.62,-65.82,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.79432797431946,0
"11318",12252,27,5,1994,41.62,-65.82,1080,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.79432797431946,2473.09613262137
"11319",12253,22,8,1997,41.63,-69.35,1620,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",4.98626971244812,2148.96723437539
"11320",12254,1,6,2007,41.63,-63.64,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1410,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.3304643034935,0
"11321",12255,7,7,1996,41.63,-63.53,1080,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",6.84637451171875,2251.25855001138
"11322",12256,13,7,1994,41.63,-63.27,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.86347550153732,0
"11323",12257,1,6,2007,41.64,-63.63,805,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,NA,NA,1.54285714285714e-06,NA,NA,NA,NA,TRUE,"No",7.3304643034935,1762.29507381799
"11324",12258,20,7,2000,41.67,-66.77,600,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,2.77833333333333e-06,NA,NA,NA,NA,TRUE,"No",5.21372580528259,1041.66624219546
