"","X.1","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size....as.numeric.Mesh.Size.","Corrected","wind","CorrectedConcentration","Latcopy","Basin","OceanScaled","Date","DateFormatted","censored","fitkm2","fitlogkm2","PredictedVals","Residuals"
"6271",6595,7529,7,3,2010,23.85,-58.44,7314.16558928677,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219,NA,NA,5.47090729783037e-07,NA,NA,NA,NA,TRUE,"No",5.53206086158752,7314.16558928677,23.85,"North Atlantic",-0.0407862131667556,11374,2010-03-07,FALSE,7314.16558928677,8.89756823849772,7.4793982649726,1.41816997352513
"6272",6596,7530,4,11,2008,23.87,-109.53,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1797,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",4.02242392301559,0,23.87,"North Pacific",-0.0711029046598375,10886,2008-11-04,TRUE,26.6175269106837,3.28156990522081,8.00223709544408,-4.72066719022327
"6273",6597,7531,31,1,2001,23.87,-82.9,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.38278496265411,0,23.87,"North Atlantic",-0.0665316824133823,8052,2001-01-31,TRUE,18.8655163210131,2.93733572229767,7.46576217828313,-4.52842645598546
"6274",6598,7532,21,4,2005,23.87,-59.03,5651.51727771773,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,4.28703703703704e-07,NA,NA,NA,NA,TRUE,"No",4.83523070812225,5651.51727771773,23.87,"North Atlantic",-0.0395482119180867,9593,2005-04-21,FALSE,5651.51727771773,8.63967933281761,7.4800539722812,1.1596253605364
"6275",6599,7533,19,4,2007,23.87,-58.89,27114.4027113581,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930,NA,NA,1.28444030347398e-07,NA,NA,NA,NA,TRUE,"No",5.53774559497833,27114.4027113581,23.87,"North Atlantic",-0.0395482119180867,10321,2007-04-19,FALSE,27114.4027113581,10.2078203310539,7.4800539722812,2.72776635877266
"6276",6600,7534,26,6,2009,23.88,-157.43,17282.1822544713,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2602,NA,NA,3.38537600832683e-07,NA,NA,NA,NA,TRUE,"No",7.603963971138,17282.1822544713,23.88,"North Pacific",0.0625556165183631,11120,2009-06-26,FALSE,17282.1822544713,9.7574313222589,8.07302932549096,1.68440199676795
"6277",6601,7535,31,1,2001,23.88,-82.65,10717.5641147697,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,2.74444444444444e-07,NA,NA,NA,NA,TRUE,"No",6.38278496265411,10717.5641147697,23.88,"North Atlantic",-0.0590098511851735,8052,2001-01-31,FALSE,10717.5641147697,9.27963918070474,7.46974611587265,1.80989306483209
"6278",6602,7536,20,3,2001,23.88,-82.09,10286.6996635616,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.11784511784512e-07,NA,NA,NA,NA,TRUE,"No",5.19307190179825,10286.6996635616,23.88,"North Atlantic",-0.0590098511851735,8100,2001-03-20,FALSE,10286.6996635616,9.23860704497834,7.46974611587265,1.76886092910569
"6279",6603,7537,16,2,1996,23.88,-74.32,1916.96090583373,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",5.39808243513107,1916.96090583373,23.88,"North Atlantic",-0.00663791370990743,6241,1996-02-16,FALSE,1916.96090583373,7.55849634942806,7.49748491032487,0.0610114391031962
"6280",6604,7538,21,4,2002,23.89,-174.74,1113.29195714932,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1833,NA,NA,3.36330275229358e-06,NA,NA,NA,NA,TRUE,"No",6.65261512994766,1113.29195714932,23.89,"North Pacific",0.103118155047199,8497,2002-04-21,FALSE,1113.29195714932,7.01507663237489,8.09451327229439,-1.0794366399195
"6281",6605,7539,8,11,2002,23.89,-109.37,641.341236665965,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834,NA,NA,3.3651376146789e-06,NA,NA,NA,NA,TRUE,"No",3.68727207183838,641.341236665965,23.89,"North Pacific",-0.0711029046598375,8698,2002-11-08,FALSE,641.341236665965,6.46356166576534,8.00223709544408,-1.53867542967874
"6282",6606,7540,3,2,2009,23.89,-83.05,2291.81743614954,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.02028506994247,2291.81743614954,23.89,"North Atlantic",-0.0665316824133823,10977,2009-02-03,FALSE,2291.81743614954,7.73710042202237,7.46576217828313,0.271338243739244
"6283",6607,7541,3,5,2002,23.89,-82.04,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.95054745674133,0,23.89,"North Atlantic",-0.0590098511851735,8509,2002-05-03,TRUE,783.877672247328,6.66425297787964,7.46974611587265,-0.805493137993007
"6284",6608,7542,22,2,1999,23.89,-67.95,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.13488608598709,0,23.89,"North Atlantic",0.0355827675781086,7343,1999-02-22,TRUE,68.1952765016917,4.22237530294488,7.51984709237005,-3.29747178942517
"6285",6609,7543,5,1,1993,23.9,-81.73,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.87015169858932,0,23.9,"North Atlantic",-0.0685816425362973,5104,1993-01-05,TRUE,274.926477608162,5.61650370776894,7.46467641699138,-1.84817270922243
"6286",6610,7544,7,4,1996,23.9,-74.48,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.46021997928619,0,23.9,"North Atlantic",-0.00663791370990743,6292,1996-04-07,TRUE,538.745435640314,6.28924316925272,7.49748491032487,-1.20824174107214
"6287",6611,7545,23,6,2012,23.91,-158.88,10200.3848816274,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,4.55138295480099e-07,NA,NA,NA,NA,TRUE,"No",7.81209152936935,10200.3848816274,23.91,"North Pacific",0.0314993697512313,12213,2012-06-23,FALSE,10200.3848816274,9.23018073205335,8.05658038571404,1.17360034633931
"6288",6612,7546,2,11,2012,23.91,-149.11,158869.49121914,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,NA,NA,1.18125371326056e-08,NA,NA,NA,NA,TRUE,"No",5.75566285848618,158869.49121914,23.91,"North Pacific",0.207374618638627,12345,2012-11-02,FALSE,158869.49121914,11.9758383342109,8.14973270379325,3.82610563041768
"6289",6613,7547,12,10,2010,23.91,-127.47,36414.6651815289,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442,NA,NA,8.64302399660225e-08,NA,NA,NA,NA,TRUE,"No",4.67345476150513,36414.6651815289,23.91,"North Pacific",0.00031330397804265,11593,2010-10-12,FALSE,36414.6651815289,10.5027268620891,8.0400626873061,2.46266417478295
"6290",6614,7548,7,5,1997,23.91,-81.3,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",4.98852676153183,0,23.91,"North Atlantic",-0.0685816425362973,6687,1997-05-07,TRUE,382.456243182512,5.9466142498143,7.46467641699138,-1.51806216717708
"6291",6615,7549,24,2,2000,23.91,-70.19,905.583100190413,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037,NA,NA,4.14867617107943e-06,NA,NA,NA,NA,TRUE,"No",5.72566401958466,905.583100190413,23.91,"North Atlantic",-0.0271746903817009,7710,2000-02-24,FALSE,905.583100190413,6.80857904582428,7.48660760743572,-0.678028561611441
"6292",6616,7550,24,4,2012,23.91,-60.53,87397.6673268103,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,NA,NA,4.216984178237e-08,NA,NA,NA,NA,TRUE,"No",5.89940369129181,87397.6673268103,23.91,"North Atlantic",-0.0288995129030827,12153,2012-04-24,FALSE,87397.6673268103,11.3782238716629,7.48569405526076,3.89252981640209
