"","X.1","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size....as.numeric.Mesh.Size.","Corrected","wind","CorrectedConcentration","Latcopy","Basin","OceanScaled","Date","DateFormatted","censored","fitkm2","fitlogkm2","PredictedVals","Residuals"
"2909",3223,4157,5,11,2009,11.17,-136.17,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.90048462152481,0,11.17,"North Pacific",-0.0695034754965787,11252,2009-11-05,TRUE,139.221757281366,4.93606803799505,8.00308423303225,-3.0670161950372
"2910",3224,4158,16,12,1999,11.17,-67.28,1986.51162555209,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",5.70212030410767,1986.51162555209,11.17,"North Atlantic",-0.0746259039319736,7640,1999-12-16,FALSE,1986.51162555209,7.59413542751646,7.4614750742007,0.132660353315756
"2911",3225,4159,16,12,2002,11.18,-120.25,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1796,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.58493572473526,0,11.18,"North Pacific",-0.072801232302256,8736,2002-12-16,TRUE,62.27931243355,4.13162930698113,8.00133757628064,-3.86970826929951
"2912",3226,4160,13,11,1998,11.18,-61.09,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.44236147403717,0,11.18,"North Atlantic",-0.0701489709998766,7242,1998-11-13,TRUE,134.906097624222,4.90457896326128,7.46384628153742,-2.55926731827615
"2913",3227,4161,17,12,1996,11.2,-62.25,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.10447931289673,0,11.2,"North Atlantic",-0.0731004651112169,6546,1996-12-17,TRUE,590.646671564748,6.38121799017125,7.46228302280712,-1.08106503263587
"2914",3228,4162,4,12,2008,11.21,-114.77,4007.4989998563,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,9.9203187250996e-07,NA,NA,NA,NA,TRUE,"No",6.43417501449585,4007.4989998563,11.21,"North Pacific",-0.06758203618966,10916,2008-12-04,FALSE,4007.4989998563,8.29592263491569,8.00410192327929,0.291820711636406
"2915",3229,4163,12,11,1998,11.21,-59.47,1117.16081386564,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",6.77366030216217,1117.16081386564,11.21,"North Atlantic",-0.0672032007265306,7241,1998-11-12,FALSE,1117.16081386564,7.01854575814763,7.46540650863718,-0.44686075048955
"2916",3230,4164,15,12,1998,11.22,-66.52,3239.09970689487,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",6.45129948854446,3239.09970689487,11.22,"North Atlantic",-0.0746335685641085,7274,1998-12-15,FALSE,3239.09970689487,8.08305070193152,7.46147101462862,0.6215796873029
"2917",3231,4165,17,12,1996,11.22,-62.23,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.10447931289673,0,11.22,"North Atlantic",-0.0731004651112169,6546,1996-12-17,TRUE,469.374572345056,6.15140111140226,7.46228302280712,-1.31088191140486
"2918",3232,4166,17,12,1996,11.22,-62.23,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.10447931289673,0,11.22,"North Atlantic",-0.0731004651112169,6546,1996-12-17,TRUE,321.971584232866,5.77446329392633,7.46228302280712,-1.68781972888078
"2919",3233,4167,15,12,1997,11.23,-64.97,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.20200264453888,0,11.23,"North Atlantic",-0.0745018376781443,6909,1997-12-15,TRUE,39.558631974518,3.67778392512821,7.46154078588676,-3.78375686075854
"2920",3234,4168,17,12,1996,11.23,-62.23,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.11400079727173,0,11.23,"North Atlantic",-0.0731004651112169,6546,1996-12-17,TRUE,245.273119059169,5.50237236131826,7.46228302280712,-1.95991066148885
"2921",3235,4169,17,12,1996,11.23,-62.23,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.11400079727173,0,11.23,"North Atlantic",-0.0731004651112169,6546,1996-12-17,TRUE,429.573976246879,6.06279396465329,7.46228302280712,-1.39948905815382
"2922",3236,4170,13,12,1996,11.23,-61.83,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2834,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.11400079727173,0,11.23,"North Atlantic",-0.0731004651112169,6542,1996-12-13,TRUE,88.2824499419773,4.48054133295155,7.46228302280712,-2.98174168985557
"2923",3237,4171,12,11,1998,11.23,-60.17,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.83689272403717,0,11.23,"North Atlantic",-0.0674433658877357,7241,1998-11-12,TRUE,152.304532216154,5.02588201793604,7.46527930516979,-2.43939728723374
"2924",3238,4172,3,4,2013,11.24,-160.18,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",8.55250257253647,0,11.24,"North Pacific",-0.072822475412338,12497,2013-04-03,TRUE,152.445038371388,5.02680412696424,8.00132632486829,-2.97452219790404
"2925",3239,4173,5,12,2004,11.24,-67.11,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.32745158672333,0,11.24,"North Atlantic",-0.0746259039319736,9456,2004-12-05,TRUE,22.3778848354606,3.10807318704378,7.4614750742007,-4.35340188715693
"2926",3240,4174,9,12,1991,11.25,-66.87,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.09263044595718,0,11.25,"North Atlantic",-0.0746259039319736,4711,1991-12-09,TRUE,4.83036978655349,1.57492302509693,7.4614750742007,-5.88655204910377
"2927",3241,4175,9,12,1991,11.25,-66.87,2543.23872487357,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",8.09263044595718,2543.23872487357,11.25,"North Atlantic",-0.0746259039319736,4711,1991-12-09,FALSE,2543.23872487357,7.84119363631048,7.4614750742007,0.379718562109774
"2928",3242,4176,12,12,1992,11.28,-63.53,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.86752074956894,0,11.28,"North Atlantic",-0.0721585102049966,5080,1992-12-12,TRUE,64.053980540492,4.15972617380421,7.46278192918306,-3.30305575537885
"2929",3243,4177,31,10,1986,11.28,-61,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.59347093105316,0,11.28,"North Atlantic",-0.0701489709998766,2846,1986-10-31,TRUE,65.4450954105991,4.18121155311716,7.46384628153742,-3.28263472842027
"2930",3244,4178,9,11,2006,11.28,-60.14,1087.95732610988,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,NA,NA,2.77833333333333e-06,NA,NA,NA,NA,TRUE,"No",5.57910978794098,1087.95732610988,11.28,"North Atlantic",-0.0674433658877357,10160,2006-11-09,FALSE,1087.95732610988,6.99205720432119,7.46527930516979,-0.473222100848591
"2931",3245,4179,27,10,2010,11.29,-141.96,4561.97033721125,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,NA,NA,6.66352497643732e-07,NA,NA,NA,NA,TRUE,"No",7.14879655838013,4561.97033721125,11.29,"North Pacific",-0.0718393914846534,11608,2010-10-27,FALSE,4561.97033721125,8.42550990067748,8.0018470152287,0.423662885448781
"2932",3246,4180,17,12,1992,11.3,-66.55,2379.39935510229,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.39486449956894,2379.39935510229,11.3,"North Atlantic",-0.0746335685641085,5085,1992-12-17,FALSE,2379.39935510229,7.77460336300864,7.46147101462862,0.313132348380019
"2933",3247,4181,8,12,2000,11.32,-67.08,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.55656218528748,0,11.32,"North Atlantic",-0.0746259039319736,7998,2000-12-08,TRUE,338.282732173461,5.82388203154411,7.4614750742007,-1.63759304265659
"2934",3248,4182,8,12,2000,11.32,-67.08,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.55656218528748,0,11.32,"North Atlantic",-0.0746259039319736,7998,2000-12-08,TRUE,28.9192469280355,3.36450735711872,7.4614750742007,-4.09696771708198
"2935",3249,4183,14,12,1995,11.32,-63.3,4335.7529719392,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,8.57407407407407e-07,NA,NA,NA,NA,TRUE,"No",6.48783242702484,4335.7529719392,11.32,"North Atlantic",-0.0721585102049966,6177,1995-12-14,FALSE,4335.7529719392,8.37465057008031,7.46278192918306,0.911868640897254
"2936",3250,4184,6,11,1996,11.32,-59.7,21708.906126513,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71497360866747e-07,NA,NA,NA,NA,TRUE,"No",6.50168490409851,21708.906126513,11.32,"North Atlantic",-0.0672032007265306,6505,1996-11-06,FALSE,21708.906126513,9.9854778759057,7.46540650863718,2.52007136726852
"2937",3251,4185,24,10,2011,11.33,-135.75,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2129,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.36476600170135,0,11.33,"North Pacific",-0.0695034754965787,11970,2011-10-24,TRUE,165.607616596949,5.1096212348364,8.00308423303225,-2.89346299819585
"2938",3252,4186,5,11,2001,11.33,-93.89,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",3.52490997314453,0,11.33,"North Pacific",-0.0727873062634244,8330,2001-11-05,TRUE,341.570016020896,5.83355268294748,8.00134495220651,-2.16779226925903
"2939",3253,4187,10,12,1994,11.33,-63.63,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.6940091252327,0,11.33,"North Atlantic",-0.0721585102049966,5808,1994-12-10,TRUE,158.860190329187,5.06802450929811,7.46278192918306,-2.39475741988495
"2940",3254,4188,10,12,1994,11.33,-63.63,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.6940091252327,0,11.33,"North Atlantic",-0.0721585102049966,5808,1994-12-10,TRUE,55.8391398342763,4.02247505422151,7.46278192918306,-3.44030687496155
"2941",3255,4189,14,5,2011,11.34,-161.27,1963.08818378774,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056,NA,NA,4.23045267489712e-06,NA,NA,NA,NA,TRUE,"No",8.73724001646042,1963.08818378774,11.34,"North Pacific",-0.0724637618951474,11807,2011-05-14,FALSE,1963.08818378774,7.58227411623625,8.00151631746738,-0.419242201231137
"2942",3256,4190,5,11,2012,11.34,-59.06,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.01542848348618,0,11.34,"North Atlantic",-0.0672032007265306,12348,2012-11-05,TRUE,107.14731587525,4.67420467144484,7.46540650863718,-2.79120183719234
"2943",3257,4191,18,12,1995,11.35,-66.52,4270.7300504749,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,NA,NA,1.15888300433317e-06,NA,NA,NA,NA,TRUE,"No",6.71512734889984,4270.7300504749,11.35,"North Atlantic",-0.0746335685641085,6181,1995-12-18,FALSE,4270.7300504749,8.3595400636168,7.46147101462862,0.898069048988179
"2944",3258,4192,6,4,2002,11.37,-160.22,1199.3095761051,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,NA,3.71098265895954e-06,NA,NA,NA,NA,TRUE,"No",7.89040809869766,1199.3095761051,11.37,"North Pacific",-0.072822475412338,8482,2002-04-06,FALSE,1199.3095761051,7.08950131695115,8.00132632486829,-0.91182500791714
"2945",3259,4193,2,4,2006,11.37,-158.37,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",9.96911942958832,0,11.37,"North Pacific",-0.0721727312870237,9939,2006-04-02,TRUE,227.243522976127,5.42602223089619,8.00167046181658,-2.57564823092039
"2946",3260,4194,9,12,1998,11.38,-63.34,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.09924870729446,0,11.38,"North Atlantic",-0.0721585102049966,7268,1998-12-09,TRUE,84.2042552355473,4.4332454572106,7.46278192918306,-3.02953647197246
"2947",3261,4195,8,11,1993,11.38,-59.92,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.92635691165924,0,11.38,"North Atlantic",-0.0674433658877357,5411,1993-11-08,TRUE,21.4866100174478,3.06742995123329,7.46527930516979,-4.39784935393649
"2948",3262,4196,8,11,1993,11.38,-59.92,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.92635691165924,0,11.38,"North Atlantic",-0.0674433658877357,5411,1993-11-08,TRUE,513.559626417935,6.24136614028655,7.46527930516979,-1.22391316488323
"2949",3263,4197,22,11,2011,11.39,-157.95,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2553,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.65714520215988,0,11.39,"North Pacific",-0.0721727312870237,11999,2011-11-22,TRUE,46.2627214267853,3.83433648401339,8.00167046181658,-4.16733397780319
"2950",3264,4198,12,12,1998,11.42,-66.5,2297.65553247557,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.04529362916946,2297.65553247557,11.42,"North Atlantic",-0.0746335685641085,7271,1998-12-12,FALSE,2297.65553247557,7.73964454833705,7.46147101462862,0.278173533708435
"2951",3265,4199,14,12,1995,11.42,-62.68,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.28788125514984,0,11.42,"North Atlantic",-0.0731004651112169,6177,1995-12-14,TRUE,784.891582277296,6.66554559649544,7.46228302280712,-0.79673742631168
"2952",3266,4200,7,12,2000,11.43,-64.6,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.29435515403748,0,11.43,"North Atlantic",-0.0735567789175065,7997,2000-12-07,TRUE,424.722602968789,6.05143625692679,7.46204133621906,-1.41060507929227
"2953",3267,4201,10,12,2003,11.44,-114.13,5658.62269127873,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,6.85925925925926e-07,NA,NA,NA,NA,TRUE,"No",6.89867746829987,5658.62269127873,11.44,"North Pacific",-0.0640161441278363,9095,2003-12-10,FALSE,5658.62269127873,8.64093580082159,8.00599059785789,0.634945202963696
"2954",3268,4202,7,12,1991,11.45,-64.6,2415.21624094726,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.71481481481481e-06,NA,NA,NA,NA,TRUE,"No",7.54770857095718,2415.21624094726,11.45,"North Atlantic",-0.0728205281272471,4709,1991-12-07,FALSE,2415.21624094726,7.78954410284305,7.46243129141875,0.327112811424302
"2955",3269,4203,7,12,1991,11.45,-64.6,3622.82436142089,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,1.14320987654321e-06,NA,NA,NA,NA,TRUE,"No",7.54770857095718,3622.82436142089,11.45,"North Atlantic",-0.0728205281272471,4709,1991-12-07,FALSE,3622.82436142089,8.19500921095121,7.46243129141875,0.732577919532465
"2956",3270,4204,10,11,1999,11.45,-59.51,14734.0907700237,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,9.14927768860353e-08,NA,NA,NA,NA,TRUE,"No",5.60734611749649,14734.0907700237,11.45,"North Atlantic",-0.0700995217602968,7604,1999-11-10,FALSE,14734.0907700237,9.59791918780636,7.46387247232506,2.1340467154813
"2957",3271,4205,4,6,2011,11.46,-157.76,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1713,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.89876908063889,0,11.46,"North Pacific",-0.0726403747520238,11828,2011-06-04,TRUE,5.02288433485544,1.61400433739855,8.00142277447526,-6.38741843707672
"2958",3272,4206,15,12,1993,11.47,-66.6,1639.06576806224,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389,NA,NA,1.92916666666667e-06,NA,NA,NA,NA,TRUE,"No",7.73259752988815,1639.06576806224,11.47,"North Atlantic",-0.0723797926016843,5448,1993-12-15,FALSE,1639.06576806224,7.40188170488339,7.46266472697108,-0.0607830220876915
"2959",3273,4207,13,12,1999,11.47,-62.59,1936.25097333325,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3148,NA,NA,3.30325288562434e-06,NA,NA,NA,NA,TRUE,"No",6.60153436660767,1936.25097333325,11.47,"North Atlantic",-0.0738225538280882,7637,1999-12-13,FALSE,1936.25097333325,7.56850889442082,7.46190056854899,0.106608325871823
"2960",3274,4208,20,11,2013,11.47666667,-131.0716667,2515.77841821445,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.43828719854355,2515.77841821445,11.47666667,"North Pacific",-0.0707083728987031,12728,2013-11-20,FALSE,2515.77841821445,7.83033754486986,8.00244605917455,-0.172108514304689
"2961",3275,4209,4,4,2012,11.49,-159.02,1778.80612257793,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2309,NA,NA,5.33256351039261e-06,NA,NA,NA,NA,TRUE,"No",8.90941345691681,1778.80612257793,11.49,"North Pacific",-0.0721530814101979,12133,2012-04-04,FALSE,1778.80612257793,7.48369770060157,8.001680869373,-0.517983168771429
"2962",3276,4210,11,12,1992,11.5,-63.38,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.86752074956894,0,11.5,"North Atlantic",-0.0704985971866432,5079,1992-12-11,TRUE,6.7553097714381,1.91032882845666,7.4636611020425,-5.55333227358585
"2963",3277,4211,18,2,2003,11.51,-149.63,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",8.34128671884537,0,11.51,"North Pacific",-0.0718251704026262,8800,2003-02-18,TRUE,113.150086682911,4.72871513816773,8.00185454742419,-3.27313940925646
"2964",3278,4212,24,10,2011,11.51,-136.46,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",5.56056678295135,0,11.51,"North Pacific",-0.0724437579664868,11970,2011-10-24,TRUE,714.299211836721,6.5713019387538,8.00152691254735,-1.43022497379355
"2965",3279,4213,12,12,1998,11.51,-62.84,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.91760808229446,0,11.51,"North Atlantic",-0.0704985971866432,7271,1998-12-12,TRUE,35.1375322560575,3.55926985422746,7.4636611020425,-3.90439124781504
"2966",3280,4214,11,3,2011,11.52,-154.93,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2418,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",9.50243198871613,0,11.52,"North Pacific",-0.0715897849411896,11743,2011-03-11,TRUE,354.708535758535,5.87129642621665,8.00197921932381,-2.13068279310715
"2967",3281,4215,19,12,1995,11.52,-67.53,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.76957070827484,0,11.52,"North Atlantic",-0.0739364405015835,6182,1995-12-19,TRUE,360.497171822826,5.88748411154257,7.46184024847723,-1.57435613693466
"2968",3282,4216,18,12,1995,11.52,-67.32,1118.19114199928,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,3.42962962962963e-06,NA,NA,NA,NA,TRUE,"No",6.78251016139984,1118.19114199928,11.52,"North Atlantic",-0.0739364405015835,6181,1995-12-18,FALSE,1118.19114199928,7.01946760690071,7.46184024847723,-0.442372641576514
"2969",3283,4217,15,12,1995,11.52,-63.1,661.995855381288,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963,NA,NA,8.79228486646884e-06,NA,NA,NA,NA,TRUE,"No",6.28788125514984,661.995855381288,11.52,"North Atlantic",-0.0704985971866432,6178,1995-12-15,FALSE,661.995855381288,6.49525929516407,7.4636611020425,-0.968401806878433
"2970",3284,4218,7,12,2005,11.53,-119.01,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",7.10715574026108,0,11.53,"North Pacific",-0.0720037895532325,9823,2005-12-07,TRUE,287.824415982353,5.66235062748567,8.00175994179868,-2.33940931431301
"2971",3285,4219,18,12,1995,11.53,-67.35,0,NA,"SEA EDUCATION",333,"Not Corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,Inf,NA,NA,NA,NA,TRUE,"No",6.78251016139984,0,11.53,"North Atlantic",-0.0739364405015835,6181,1995-12-18,TRUE,411.31476013623,6.01935876113813,7.46184024847723,-1.4424814873391
